Abbrev,State,Capital,Lat,Lon,Pop,Area
AL,Alabama,Montgomery,32.38012,-86.300629,205764,401.5985967
AK,Alaska,Juneau,58.29974,-134.406794,31275,7020.739431
AZ,Arizona,Phoenix,33.44826,-112.075774,1445632,1227.279109
AR,Arkansas,Little Rock,34.748655,-92.274494,193524,300.2944461
CA,California,Sacramento,38.579065,-121.491014,466488,251.1929446
CO,Colorado,Denver,39.74001,-104.992259,600158,396.4300176
CT,Connecticut,Hartford,41.763325,-72.674069,124775,44.70820928
DE,Delaware,Dover,39.158035,-75.524734,36047,57.88808601
FL,Florida,Tallahassee,30.439775,-84.280649,181376,247.3165103
GA,Georgia,Atlanta,33.748315,-84.391109,420003,340.3509343
HI,Hawaii,Honolulu,21.30477,-157.857614,337256,221.4736147
ID,Idaho,Boise,43.60698,-116.193409,205671,164.8776735
IL,Illinois,Springfield,39.801055,-89.643604,116250,139.5516359
IN,Indiana,Indianapolis,39.76691,-86.149964,820445,934.2206737
IA,Iowa,Des Moines,41.58979,-93.615659,203433,195.8891482
KS,Kansas,Topeka,39.049285,-95.671184,127473,144.720215
KY,Kentucky,Frankfort,38.19507,-84.878694,25527,37.98905644
LA,Louisiana,Baton Rouge,30.443345,-91.186994,229493,198.4734376
ME,Maine,Augusta,44.318036,-69.776218,19136,143.1696413
MD,Maryland,Annapolis,38.9767,-76.489934,38394,17.39226869
MA,Massachusetts,Boston,42.358635,-71.056699,617594,125.0796144
MI,Michigan,Lansing,42.73194,-84.552249,114297,90.45013439
MN,Minnesota,Saint Paul,44.943829,-93.093326,285068,136.4504884
MS,Mississippi,Jackson,32.29869,-90.180489,173514,271.0919742
MO,Missouri,Jefferson City,38.577515,-92.177839,43079,70.55110482
MT,Montana,Helana,46.58976,-112.021202,28190,36.18005375
NE,Nebraska,Lincoln,40.81362,-96.707739,258379,192.7880008
NV,Nevada,Carson City,39.164885,-119.766999,55274,370.587122
NH,New Hampshire,Concord,43.20725,-71.536604,42695,166.1698184
NJ,New Jersey,Trenton,40.217875,-74.759404,84913,19.79565798
NM,New Mexico,Santa Fe,35.691543,-105.937406,67947,96.39400036
NY,New York,Albany,42.651445,-73.755254,97856,55.30379645
NC,North Carolina,Raleigh,35.78551,-78.642669,403892,296.1595829
ND,North Dakota,Bismarck,46.805372,-100.779334,61272,69.51738899
OH,Ohio,Columbus,39.96196,-83.002984,787033,543.4760932
OK,Oklahoma,Oklahoma City,35.472015,-97.520354,579999,1568.663759
OR,Oregon,Salem,44.93326,-123.043814,154637,118.1020326
PA,Pennsylvania,Harrisburg,40.259865,-76.88223,49528,20.95858828
RI,Rhode Island,Providence,41.823875,-71.411994,178042,47.80935675
SC,South Carolina,Columbia,33.99855,-81.045249,129272,323.5530521
SD,South Dakota,Pierre,44.368924,-100.350158,13646,33.59576419
TN,Tennessee,Nashville,36.167783,-86.778365,601222,1223.144246
TX,Texas,Austin,30.267605,-97.742984,790390,649.9488228
UT,Utah,Salt Lake City,40.759505,-111.888229,186440,281.9459903
VT,Vermont,Montpelier,44.260299,-72.576264,7855,26.35975345
VA,Virginia,Richmond,37.5407,-77.433654,204214,155.3158022
WA,Washington,Olympia,47.039231,-122.891366,46478,43.15763555
WV,West Virginia,Charleston,38.350195,-81.638989,51400,81.6635499
WI,Wisconsin,Madison,43.07295,-89.386694,233209,177.5406923
WY,Wyoming,Cheyenne,41.134815,-104.821544,59466,54.52850958
